jbwm 几百微米,几百万名
tcbz 推崇备至
dgyr 达官要人
tcbs 体操比赛
elczzq 鄂伦春自治旗
jssrmzf 江苏省人民政府
cyjqkj 沈阳军区空军
tcbj 跅弛不羁
yybsts 有眼不识泰山
clgh 长虑顾后
tcbg 推诚布公
mdbp 末端补平
bbqs 抱表寝绳
jhes 尽欢而散,酒酣耳熟
jher 酒酣耳热
bbqw 不变其文
blgy 玻璃工艺
apjd 阿平绝倒
sjrqxy 世界人权宣言
bbqy 闭壁清野,白璧青蝇
brqt 白日青天
pdkc 棚代客车
qqjx 乞穷俭相
klmlg 克里姆林宫
bbqf 补敝起废
xeyzs 学而优则仕
lxhlz 联系汇率制
tejw 退而结网
bbqm 背本趋末
yglwsqy 一个两万四千元
ylew 鱼烂而亡,引领而望,一来二往
yleq 一来二去
hlhk 花落花开
yles 鹰瞵鹗视,以狸饵鼠,一雷二闪
blgr 巴拉圭人
sbtj 神兵天降,送抱推襟,神兵天将
ylel 一两二两
ylen 鱼瞵鹗睨
clgc 处理过程
mgsdl 摩根士丹利
gnhl 隔年皇历
gnhj 工农红军
tntn 童男童女
gnhz 狗拿耗子
gnhx 国内航线
tnty 同年同月
gnhs 龟年鹤算,龟年鹤寿
bzdw 胞质定位,标准单位,博治多闻
xodq 西欧地区
cspc 寸善片长
jtzwb 简体中文版
tqtb 铜墙铁壁,铁墙铁壁
lydy 龙颜大悦,鹿野道彦
lwkh 里外开花
ztsp 总体水平
fldd 风流跌宕
btyj 悲痛欲绝
dne 丹尼尔,第纳尔,达尼尔,低能儿,旦尼尔,多尼尔,顶牛儿,灯捻儿,丹妮尔,迪奈尔,但努尔
ycmz 一筹莫展,一辞莫赞,一尘莫沾
dng 东暖阁,斗牛宫,导尿管,电暖锅,氮尿苷,大牛股,大南沟
dnf 东南方,东南风,都诺夫,东南非,豆奶粉,毒奶粉,德诺夫,迪纳夫,电脑房
dna 都能安,胆囊癌,东南岸
dnc 东南侧,大农场,斗牛场,电脑城,电脑厂,当奴才,但那次
dnb 东南部,第聂伯,电能表,电脑病,电脑报,挡泥板,电脑部,电脑包,东南边,达努彪,电脑班,电脑板
dnm 东南面,当牛马,大南门,迪纳摩,电脑迷,大奶妹,狄纳莫,杜纳马
dnl 迪纳拉,窦纳乐,电脑锣,杜宁林,德尼罗,达尼利
dno 东南欧
dnn 窦娘娘,丁宁宁,等你拿,等你你,邓奶奶
yjwt 有进无退,以进为退
dnh 多瑙河,大宁河,大奴湖,电脑化,独女户,杜能环,帝女花,低能耗
dnk 钉钮釦,短内裤,电脑课,大脑库
dnj 东南角,动脑筋,低年级,东南郊,邓尼金,电脑街,东捻军,达纳基
yjwh 有借无还
dnt 丁能通,电脑台,德农厅,东内特,丁念廷
dnw 党内外,岛内外,逗你玩,电脑网,多诺万,斗牛舞
slcqy 斯鲁茨卡娅
yjwl 有教无类,一举万里,于今为烈
yjwm 远近闻名,曳裾王门
dns 多年生,丹尼斯,单宁酸,斗牛士,丹尼森,大南山,翟乃社,电脑室,电脑商,电脑书,电内渗,犊牛舍,德尼斯,大牛市,多囊肾,冬暖式,丹妮丝,达诺斯,德能胜,德涅斯
ycml 寅吃卯粮,夤吃卯粮
ycmb 远程目标
yjwc 尹稼坞村
dny 东南亚,胆囊炎,电脑业,大年夜,冬妮娅,丁尼亚,大脑炎,多尼亚
yjwe 一家无二
yjwf 鬻鸡为凤,一介武夫
dnz 电脑桌,毒娘子,惦念着,德尼昭,定南针,大逆转,多尿症,动脑子,低能者,丁乃竺
pzls 膨胀螺栓
dgqb 独孤求败,断珪缺璧
sbzf 三八作风
psxs 偏三向四
sbzc 随波逐尘,设备组长,商标注册
tpbq 填平补齐
sbzm 舍本逐末,松柏之茂,损本逐末,尚不致命
sbzl 随波逐流,时不再来,失不再来,随波逐浪
pzlx 骈枝俪叶
sbzn 十步之内
tpbz 图片壁纸
sbzk 时报周刊
sbzj 损兵折将,设备租金,三保直街
sbzt 上不着天
sbzw 食不重味,食不终味,松柏植物,食不知味
psxc 菩萨心肠
sbzs 十八周岁,松柏之寿,使臂指使,书本知识
sbzr 食不重肉
eeaa 恩恩爱爱
pzlk 平展辽阔
xtry 胶体溶液
sbzy 山崩钟应,失败主义,三百左右
sbzx 死不足惜
sbzz 松柏之志,时报杂志,书报杂志
ztsc 轴突生长
gpaj 挂牌案件
lntsd 鲁能泰山队
xsjy 形势教育
ybwsew 一百五十二万
glyycx 管理应用程序
gpay 广辟案源
brml 编入目录
bghh 别构活化
ygsys 一个十余岁
rdjs 人道精神
pdym 怕得要命
jrpy 酒肉朋友
zbbq 止步不前
lxzn 惊弦之鸟
ygsyz 一个十余丈
pdyg 裒多益寡
bjdxlsx 北京大学历史系
mstlht 马斯特里赫特
xtrn 削铁如泥
ctkc 长途客车
nwxs 粘温系数
ctkl 长谈阔论
ctkn 藏头亢脑
ptzg 普通职工
ptzd 普天匝地
tqlf 托卡列夫
ynzjzyc 一年之计在于春
ptza 偏听则暗
ptzl 平头正脸
krms 抗蠕霉素
ptzh 普通照会
jrpp 尖锐批评
krmj 看人眉睫,旷日弥久
ydry 赢得荣誉
ylnsz 伊利诺斯州
ptzz 普通住宅
dxsy 多许少与
tqlz 同气连枝
hwgz 户外工作
sedw 萨尔迪瓦,少儿读物
sedq 萨尔达渠
kkxls 可可西里山
bsnz 包氏娘子
sedz 塞耳盗钟
bsng 搏杀弄汞
wzqf 网状区分
bsnd 八十年代,北水南调
ejhwex 二聚环戊二烯
sedo 塞尔对偶
bsnk 冰山难靠
gyyy 过眼云烟,过眼烟云,更有意义
sedk 萨尔蒂科
mgqy 灭虢取虞,敏感区域
ztgm 遮头盖面
hmqh 荒漠气候
hwgr 环卫工人
djgr 镀金工人
wjxn 未嫁新娘
ozzyyx 欧洲中央银行
xjsfdx 新疆师范大学
azbz 暗中帮助
xsjd 行善积德
hjdx 红军大学,环境毒性
azbr 癌症病人
wjxb 未经宣布
azbf 爱憎不分
zgxqxy 中国戏曲学院
zak 赵安开,治安科
cndw 吹牛大王
zmds 钟鸣鼎食,驻马店市,知名当世
zmdr 走马到任
wjxg 文君新寡
njcf 弄斤操斧
njcb 南京晨报
hm 毫米,后面,缓慢,航母,号码,画面,海面,荒漠,毁灭,慌忙,湖面,昏迷,荒谬,花木,虎门,后门,皇马,哈密,蛤蟆,会面,豪迈,华美,荷马,化名,黑马,红梅,毫毛,汉墓,海绵,和睦,活命,河面,红木,轰鸣,回民,活埋,豪门,黄麻,何门,豁免,合谋,火苗,褐煤,惠民,汉末,画眉,海马,汗毛,横蛮,会盟,黑麦,寒毛,狠命,回眸,黄门,胡麻,红棉,河马,黑幕,花蜜,海门,侯马,毫秒,黑面,桦木,幻灭,虹膜,汉民,黑米,回门,黄梅,烩面,狐媚,寒门,换马,红麻,横木,回目,后母,黄米,海民,海姆,花帽,哈姆,洪门,黑木,翰墨,红帽,晦明,禾苗,浩渺,活门,徽墨,后妈,黄马,鸿蒙,浩淼,黑猫,黑墨,害命,红魔,哈马,诨名,话梅,黑门,花名,弧面,幻梦,黑莓,贿买,海鳗,黄帽,鹤鸣,韩美,海米,横眉,昏昧,换毛,呼盟,酣梦,航模,画名,珩磨,户名,寒梅,呼玛,号脉,黄毛,颌面,虎鸣,花猫,汉明,华明,黑毛,酣眠,合面,环幕,滑膜,火魔,滑脉,汗马,寒芒,宦门,含锰,亨曼,黑名,黄莓,黄庙,鸿门,鸿毛,魂门,讳名,蝗灭,虎猫,荒蛮,花苗,翰毛,红门,红莓,红煤,红媒,秽名,皇民,画谜,环面,灰灭,灰濛,灰名,火绵,火煤,滑面,湖名,混莽,混棉,混名,涵木,海锚,海棉,浩茫,浑名,河鳗,汗漫,毫末,横面,横目,横模,槐木,核酶,核膜,晦冥,昏暮,昏明,旱魔,换满,换名,护面,护目,护幕,悔蔑,忽灭,忽明,很美,很慢,很忙,很妙,好迷,坏猫,坏灭,回骂,唤名,哈米,哈曼,吼鸣,含镁,化锰,化募,候马,互谋,互勉,黑霉,黑脉,黑摩,红芒,红盟,红毛,皇庙,灰霉,海漫,洪脉,槐米,惠卖,哈蒙,华目,化镁,化妙,候命,会密
mcmj 马迟枚疾,谋臣猛将
cndb 层粘蛋白,从南到北
njcz 弄假成真
wjxd 武家兄弟,温家兄弟
njcs 鸟迹虫丝
zdzh 战斗指挥,坐地自划
qwyz 区位因子
zdzj 站得住脚,钟鼎之家,自地自建,真动知觉,值得尊敬
qwyx 迄无音讯
zdzl 锥刀之利,振荡整理
zdzm 锥刀之末
qwys 趣闻轶事
qwyr 阒无一人
zdzb 张大嘴巴,自动重拨,战斗准备
blgm 暴力革命,布鲁格曼
fjbt 封建把头
zdzg 至大至刚
zdzx 重点中学,整顿秩序,乍读之下
zdzy 锥刀之用,自导自演,自动增益,指导作用,战斗支援,值得注意,值得主义,主导作用,中等职业,中等专业
zdzz 中东战争,自动装置,终端装置,政党政治,值得尊重,中都之战
fjbl 分金掰两,分斤掰两,分斤拨两
qwyl 牵物引类
qwyb 千万英镑
zdzr 镇定自若,重大责任
zdzs 植党自私,战地钟声,在敌之手,值得注视
zdzt 知地知天
hebykdxdefsyy 哈尔滨医科大学第二附属医院
cdql 赤地千里
cstg 测试通过
eedss 鄂尔多斯市
hwgg 毫无瓜葛,户外广告
hkhtb 航空航天部
klqzymgzzzx 喀喇沁左翼蒙古族自治县
ztgh 整体规划,总体规划
dgb 丁国宝,大公报,德国杯,杜工部,打狗棒,打个包,当过兵,导光板,党顾秉,地广兵,单冠白
xdzl 相对真理
zax 障碍性,致癌性,镇安县,诏安县,郑爱新,正安县
gdxc 古道循肠
dgc 胆固醇,董庚臣,代工厂,打谷场,定冠词,祷告词,点高潮,氮固持,毒狗草,搭公车,打榖场,大圪村,大公储,单工槽,冬瓜茶,丁癸草,豆固醇,杜公祠,大锅菜,丁拱辰
gdxm 观点鲜明
crbq 超然不群
gdxj 国代选举
hbhj 河奔海聚,汉兵汉将
gdxt 供电系统,观点相同
gdxw 光导纤维,高大雄伟
dga 胆管癌
gdxp 古典学派
djdwcbs 党建读物出版社
syg 十一个,输油管,十余个,输液管,受援国,孙有光,兽亚纲,所有格,十余根,山阳公,十一歌,三亚港,输氧管,石英管,石油管,生隐宫,水浴锅,审阅官,审议稿,宋一国,商业港,史言官,上药膏,时燕国,数亿个,师袁公,师姚广,审议官,宋有官,宋元港,宋元刚,史遗规,十余股
Cp C盘
xxzgr 修行在个人
gdxx 高等学校,工读学校
dgg 丁关根,大公国,动干戈,打光棍,戴高冠,登广告,堆沟港,顶瓜瓜,顶呱呱,镀铬钢,电工钢,点歌给,打过工,打广告,大公馆,地瓜干,顶刮刮,董公公,窦广国,但格格
fkdh 发科打诨
fkdj 番窠倒臼
dgd 德国队,大哥大,道光帝,多哥队,订购单,蛋糕店,耽搁到,点歌单,担搁到
jkbt 绝口不提
jkbz 接口标准
jkby 缄口不语,缄口不言
dge 独个儿,大个儿,打滚儿,打嗝儿,对过儿,单个儿,倒过儿,德格尔,东古儿,丁格尔
fkdg 富可敌国,富堪敌国
jkbc 艰苦备尝,艰苦备嚐,加开班次,借客报仇
syk 双月刊,斯元科,十余块,石玉昆,石远凯,十一款,谁有空,苏永康,苏峪口,舒亦康,睡衣裤,摄影课,实验课,孙应奎,十一块,十一口,施以可,师允可,山岩刻,宋亚坤,十余口
lxjk 类型接口
jkbf 加快步伐
jkbd 叫苦不迭,绝口不道
ark 艾瑞克
zaq 臧爱亲,振安区
dkek 敦刻尔克
yxfy 阴性反应,阳性反应,银行费用
yxtg 引新吐故,一心同归,一心同功
zjdy 争金夺银
zjdz 正交调制
yxtk 异想天开
yxtj 用心听讲,有效途径
yxth 右旋糖酐,一现昙华
amdy 安眉带眼
zjdq 资金短缺
zjds 折节读书
zjdl 阵脚大乱,宗教地理,中介代理
ywwqeby 一万五千二百余
yxtq 以胶投漆
yxtp 硬性摊派
zjdh 祝捷大会,直接对话
sym 十余名,十余枚,十余米,十一名,宋元明,三月末,石油醚,宋玉梅,首一名,史有明,司一秘,赛圆满,耍阴谋,盛于明,水杨梅,宋元名,十一面,十一门,上银幕,三义墓,释迎牟,石燕鸣,孙毓敏
zjdj 只鸡斗酒
yxtt 一心同体
zjdd 洲际导弹,张家弟弟
yxtz 院校体制
yxty 鹰翔天涯,游响停云,优秀团员
syl 施用量,失业率,收益率,十余里,市盈率,使用量,使用率,盛云龙,适应力,三元里,孙元良,三一律,生育率,山越岭,商英联,饲养量,萨彦岭,生育力,上有老,邵友濂,食用量,孙银龙,十余辆,水源林,松义郎,三英里,索元礼,数英里,商业楼,首映礼,试验楼,胜于蓝,生源论,生油率,深夜里,水源路,梭鱼类,树阴凉,施压力,施一礼,师由龙,山杨林,实验论,实验楼,实验林,商有量,受孕率,十余路,十余两,十一郎,十一楼,三阳络,苏亚雷,石崖磷,斯右路,师一旅,市赢率,山延历,宋有烈,孙延龄,四英里,十英里,三亿两
zjda 最佳答案
wpwy 无偏无倚
dgr 德国人,登革热,董贵人,邓光荣,订购人,大官人,大公让,代管人,杜杲任,丁甘如
rzyhqtt 日中友好七团体
syr 所有人,山羊肉,生意人,手艺人,十一日,所以然,十余日,受益人,涮羊肉,孙诒让,收养人,守夜人,山羊绒,史杨锐,鲨鱼肉,送友人,送养人,赡养人,失意人,四亿人,受约人,三亿人,粟裕任,卅一日
stdl 水通灯亮
alstf 阿里斯托夫
syq 所有权,试用期,使用权,宋远桥,商业区,生育期,石油气,试验区,私有权,授予权,实验区,适应期,使用期,顺义区,生育权,受益权,双引擎,输液器,索因卡,收益权,试验期,私隐权,睢阳区,水引擎,山阳区,寿延千,声压强,双阳区,双园区,刷油漆,伤元气,三元区,适宜区,说一千,索乙契,神岳琼,水野清,水杨醛,水宜清,施以青,拾音器,尚有情,宋艳青,孙轶青,孙云球,史于谦,十余顷,十一期
yxfq 预先付讫
ycfm 燕巢飞幕,倚草附木,依草附木
ztgd 遮天盖地
bzda 标准答案
qmqk 裘马轻狂,裘马清狂
kfw 咖啡屋,康复网
kft 咖啡厅,库菲体
kfr 开放日,开封人,开发热
kfs 开发商,抗辐射,开放式,开封市,孔繁森,咖啡色,抗腐蚀,开发署,开发式,开发史,看风水,抗风湿,咖啡师,咖啡室,科夫斯
kfp 开发票
kfq 开发区,开放区,开发权,科夫卡,考夫卡,空防区,开福区,客服群
kfz 孔夫子,开发者,开方子,空房子,康复者,克分子,康疯子,咖啡渍
bbqq 悲悲切切,彪炳千秋
kfx 开发型,开放性,开放型,开发新,开封县,开发性,可分性,抗风性,孔方兄,可复性,可防性,可纺性
kfy 咖啡因,口服液,咖啡园,口服药,开发业,快翻译,可分元
kff 开封府,咖啡粉,空腹服,扣分法,开发费
kfg 咖啡馆,开方根,孔复古
kfd 咖啡豆,咖啡店,开放度,柯菲德,科孚岛,空翻多,抗非典,开罚单
kfe 库福尔
kfb 开发部,咖啡杯,客房部,开发办,开发板,开发包,康福宝,客服部,咖啡吧
kfc 空腹吃,矿粉厂,快帆船,咖啡茶,孔凤春
ycfg 演唱风格
swbw 十万八万,四五百万,十万百万
kfl 抗风力,开发量,库弗雷,库夫拉,孔飞力,孔凡礼,开房率
kfm 库夫曼,考夫曼,孔分墨,咖啡猫
kfj 咖啡碱,开发局,空房间,开放剂,开房间,咖啡机,咖啡具,可分解,康府兼,孔父嘉,咖啡节
syy 什么样,十一月,上议院,宋颖仪,食用油,饲养业,佘一元,饲养员,收银员,试营业,水渔隐,石油业,数亿元,实验员,史杨仪,释严颜,孙毓筠,施以援,尚有余,三余一,食蚜蝇,食用鱼,食用盐,适用於,试验园,试运营,肾盂炎,石英岩,省议员,生意眼,手艺业,市议员,属意于,实验仪,守夜员,孙爷爷,四眼鱼,司盐运,十一元,兽医院,石勇引,石元雅,生有羽,师玉阳,师彦英,尚有云,宋元圆,孙怡云,商衍瀛,史杨寅,史元杨,史严云,十一员
kfh 咖啡壶,匡扶汉,康复会
dmwx 达玛烷型
ddmz 戴顶帽子
tns 突尼斯,天宁寺,台南市,塔努斯,滕尼斯,特奈斯,铁女寺,洮南市,钛镍丝,逃难所,太难受,天那水,天诺思,唐纳森,唐努山,特纽斯,特纳氏
dgy 大观园,电感应,点光源,胆管炎,电管员,电光源,当归鸭,导轨油,导购员,大果榆,地沟油,碘甘油,段高源,德攻宇
stdn 手提电脑
zkbj 状况不佳
dmws 杜默为诗
felf 跗萼联芳
zkbl 中空玻璃
zkbr 自愧不如,遮空蔽日
gbhgdx 哥本哈根大学
yzmw 英姿迈往
dmwl 大门五郎
bzdc 标准电池
ztbs 暂停比赛
zkbz 真空包装
zkby 真空泵油,专科毕业
yydm 耀眼夺目
dmwd 地面温度
dmwg 丹麦王国
jlqg 戒律清规
fsxgjy 风湿性关节炎
jmmt 聚醚醚酮
fqws 废寝忘食,废气污水
cjbs 长久不衰
gatb 港澳同胞
jlqk 畸流洽客
nzs 内置式,那紫衫,那怎生,那众僧,女足赛,鸟之诗,能之士,牛仔衫,扭转身,宁宗死,女执事,女战士,能自生,牛庄设,南宗禅
dzxqy 大中小企业
nzq 男子气,牛庄区,牛仔裙,女知青,农作曲,那治情,那掌旗,宁宗庆,倪志钦
nzp 奶制品,酿造品,宁州彭
nzw 农作物,闹着玩,内质网,那紫文,南诏王,拟作为,扭折位,囊中物,那紫微,南昭王,南尊武
lbkj 了不可见,乐不可极
tdkk 土地开垦
nzt 那中堂,那竹梯,囊状体,牛朱特,女侦探,内质体,那尊藤
nzz 南振中,南洲子,那阵子,脑组织,女真族,女子组,女贞子,那舟子,男子组,难追踪,脑卒中,牛仔装,捏造者,宁中则,南庄镇,努着嘴,内转载,内置在,南宗掌
nzy 宁周义,乃至于,拿主意,宁致远,女中音,那知杨,宁镇扬,那紫衣,男中音,倪徵燠,酿造业,那尊银,黏着语,牛仔衣,宁宗逾,女职员,南自云,宁镇杨,内正毅
nzx 南漳县,南朝鲜,粘滞性,南召县,难治性,那真仙,黏着性,酿造学,耐渍性,女祖先,内在性,南郑县,南征西
tcyd 坦诚以待
nzc 酿造厂,聂庄村,捏造出,年总产,女主持,女主唱,南征楚
nzb 内政部,牛仔布,南子北,那竹棒,聂振邦,女主播,南朝北,难治病,纳折布,南至北
byysj 表演艺术家
nzg 牛正乾,农展馆,那扎格,女职工,女主管,农转工,内资股,那知刚,纳州格,内掌柜
lbkz 乐不可支,鲁棒控制
lbky 乐不可言
nzd 脑震荡,倪正东,女招待,能振动,纳资代,女总督,那庄丁,南子岛
nzk 牛仔裤,那知客,那庄客,那郑克
nzj 女作家,娘子军,年终奖,那枝箭,酿造酒,那紫鹃,黏着剂,那紫金,那枝金,那枝戟,蹑着脚,男主角,捻指间,念珠菌,年租金,妳自己,女主角,农作机,那真君,那战甲,那众军,粘着剂,南征荆,南征军
nzh 男子汉,闹灾荒,牛子厚,男子化,牛振华,内转换,内在化,南郑侯,南增厚
dmdz 地貌倒置
nzn 内侄女,女追男,女找男,女主内,那珠囊,纳资纳
nzm 牛宰马,牛作马,那株梅,逆转每,女贞苗,内在美,那珠母,尼扎姆
nzl 南直隶,脑肿瘤,逆转录,那赞礼,南朝梁,黏着力,那佐领,脑子里,男足离,弄脏了,尿潴留,南征梁,内张力,内在论,能重立,年增率
yjwen 一九五二年
hjyh 环境演化,环境友好
kmyzzz 抗美援朝战争
drlg 打入冷宫
hjyl 环境压力,河决鱼烂
gtxy 钢铁行业
bbne 宝贝女儿
hjyc 环境异常
bbnn 别别扭扭
xpbw 熊罴百万
hjyg 鸿渐于干,环境遥感
hjyf 黄卷幼妇
hjyy 海军医院
hjyx 环境影响
hjyz 后基因组
hjyq 很久以前
hjys 红极一时,环境要素,环境映射,环境因素
hjyr 后继有人
hjyt 欢聚一堂,汇聚一堂
hjyw 荒郊野外
phgl 披红挂绿
jtgdy 姜太公钓鱼
pggr 铺管工人
kr 抗日,客人,困扰,宽容,狂热,考入,跨入,库容,慨然,枯荣,扩容,狂人,烤肉,酷热,可燃,孔融,宽仁,可溶,抗热,坑人,阔人,扣肉,阬儒,铿然,空认,科睿,科任,溘然,旷日,开睿,开刃,开入,岿然,宽饶,坑儒,困人,喟然,可让,可染,可容,矿容
ybbywb 以不变应万变
fecj 菲尔茨奖
phgn 排汗功能
gdsf 高等师范
rhcz 染翰操纸,染翰成章
ymqd 羽毛球队,迎门请盗
gdqm 高大乔木
bbql 跛鳖千里
ymqg 誉满全国,羽毛球馆
astlgs 阿斯特拉公司
kyhc 枯鱼涸辙
btys 簸土扬沙
dzpc 豆制品厂
nmft 纳米粉体
dsfy 赌誓发愿,赌誓发原
shkmsd 上海开明书店
jpdw 棘皮动物
stdd 生态地段
jrjsj 进入计算机
lkwe 罗克韦尔
jjdm 集结待命
dljx 电力机械,地理界线,动力机械
ygwss 一个五十岁
rlyk 热泪盈眶
dlxxxt 地理信息系统
abdc 安步当车
ygwsl 一个五十两
tasw 泰安市委
ytwz 因特网址
skbz 甩开膀子
ytwx 以汤沃雪
ytwr 有天无日
ytws 云屯雾散,一头雾水
jttq 今天天气
ytww 有头无尾
yekck 伊尔库茨克
htwr 回天挽日
ytwj 以退为进,云屯雾集
ytwk 一吐为快
ytwh 烟台万华
jxcjdx 江西财经大学
ytwn 有头无脑
htwh 黑陶文化
ytwl 蝇头微利
htwj 红头文件,荒唐无稽,昊天罔极,哄抬物价
htwf 夯铁文夫
ytwf 仪态万方,以汤沃沸
ljyl 鳞集仰流,临界压力
ytwd 云天雾地
htwb 合同文本
pjhp 颇见好评
wzqj 稳中求进
dlyh 断裂愈合
dsfz 赌神发咒,单顺反子
xchm 先尝后买
fybn 防御不能
sswzn 三十五周年
fdxf 反导向飞
xchl 喜从何来
pjhb 平均海拔
dlye 盗铃掩耳
pjhh 盆景花卉
czwj 财政危机,查找文件
czwh 初中文化
czwf 尺竹伍符
czwd 操作温度
mrjy 慕容景岳
cgyz 长官意志
czwx 纯正无邪,纯真无邪
czwy 从左往右
czww 成则为王
czwt 初值问题
ygswls 一个十五六岁
smr 色目人,睡美人,守门人,厦门人,苏美人,双面绒,算命人,斯麦任
kcch 刻翠裁红
tmendb 泰米尔纳德邦
bdds 不单单是
qcbx 汽车保险
qcby 千疮百痍
kccf 看菜吃饭
apyl 阿佩伊伦
jjdj 碱基堆积
qcbf 七彩缤纷
qcbd 取长补短,趋长避短,七长八短,七穿八洞
qcbj 汽车部件,汽车报价
qcbk 千疮百孔,七疮八孔
qcbh 气传病害
zgwy 臧谷亡羊,臧穀亡羊
qcbl 千锤百炼,青春不老,汽车玻璃,千锤百链,七穿八烂
hxjljjh 海峡交流基金会
swbk 尚无不可
jyms 机要秘书
pkzf 排糠障风
ncwd 内查外调
dte 大天鹅,大头儿,打通儿,打挺儿,呆头鹅,迪特尔,豆天蛾,戴天恩,地摊儿
lgbd 流感病毒
ncwh 你唱我和
fybk 非赢不可,非要不可,非用不可,非有不可
rdwm 入地无门
ncwm 泥车瓦马
pkzj 片刻之间
jjdk 间接调控
ncws 农村卫生
rdws 人丁旺盛
ygsds 一个十多岁
tlhz 通力合作,偷梁换柱,特拉华州,托梁换柱,天理何在,偷樑换柱
ncwy 女乘务员
tlhw 同流合污,同流合汙
smp 石磨盘,试卖品
kesdq 克尔斯蒂奇
cxdq 长吁短气
jypp 教育批评
sxcc 顺序存储
ajws 安静无声
dljs 独立精神,抖搂精神
cjdc 层见迭出,层见叠出
ywqt 仰屋窃叹
cxdt 长吁短叹,长嘘短叹
rgp 若干片,若干篇,若干匹
jdwm 借贷无门
gwyz 更为严重,姑妄言之
tjjbm 铁将军把门
gwys 过为已甚
gwyr 故我依然,高温炎热
jdwc 绝对误差,截断误差
jdwb 绝对温标,极点五笔
zgdfhkgs 中国东方航空公司
gtxb 高谈雄辩
lyswe 路易斯维尔
ljfc 龙驹凤雏
gwyl 国务院令,瓜维亚雷
jdwx 间谍卫星,近代文学,嫉妒妄想
sdfw 生栋覆屋
gwyc 公务用车,公务员惩
jdwt 静定问题,交代问题
xptx 相频特性
gwyf 公务员法
hmlc 红庙李村
lgbt 龙肝豹胎
kdjr 宽带接入
ljfg 廉洁奉公
jhzf 麇骇雉伏
mxtb 马戏团表
kbcj 溃不成军
rgx 热固性,汝观兄,热工学,若干项,任国相,弱光性,如皋县
kbcl 看不出来
smm 宋嬷嬷,酥麻麻,色迷迷,色眯眯,色妹妹,色咪咪,水蒙蒙,杀木马,实木门,宋妈妈,孙明明,史妹妹,生毛毛,水密门,宋敏忙
swbg 善为保管
lgbq 连根拔起,陵谷变迁
ygrl 玉关人老
gdzt 锅底朝天
tmnw 天命难违
rgkz 人工控制
kdjq 开动机器
wydq 无言对泣
gtxl 高谈虚论
lxzp 旅行支票
gjrmfy 高级人民法院
pnxl 盘尼西林
frc 夫人城,防热层,芙蓉城,纺染厂,付瑞灿,付瑞成
frb 富人榜,妇人病,发热板
stldwl 斯特拉迪瓦里
gnht 瓜纳华托
frg 法人股,缝纫工,非人工,芙蓉国,法仁功,发热管,方弱冠
frf 芙蓉峰,防热法
fre 法瑞尔
frd 夫人道,繁荣党,芙蓉洞,弗瑞德,副热带
frk 福瑞克
ejbj 二甲苯基
frh 负热火,芙蓉花
ptnt 鹏抟鹢退
frm 弗若曼
frl 发热量,非人类,芙蓉路,芙蓉楼,芙蓉里,富热隆
frs 风入松,孚日山,发热时,冯润胜
frq 繁荣期,芙蓉区,发热器,丰润区
smk 圣马可,沙摩柯,圣马克,石门口,生面孔,熟面孔,师迈克,司马康,苏梅克,索姆库
swba 睡卧不安
kenkw 库尔尼科娃
frt 房日兔,福瑞天,访日团
ejbz 二级标准
fry 疯人院,樊瑞引
